ID,Species,Nitrogen,# planted,# sprouted,Date,Mass of plant+weighboat,Mass of weighboat,Mass of plant
A1,Pea,Low,3,2,3/11,5.4655,5.2783,0.1872
A2,Pea,High,3,0,3/11,0,0,0
A2,Mustard,High,3,3,3/11,5.3728,5.3587,0.0141
A3,Pea,High,3,1,3/9,5.4023,5.3741,0.0282
A4,Mustard,Low,3,0,3/9,0,0,0
A5,Pea,Low,6,1,3/9,5.425,5.3127,0.1123
A5,Mustard,Low,6,2,3/9,5.2727,5.2456,0.0271
A6,Mustard,High,6,5,3/9,5.2071,5.1927,0.0144
A6,Pea,High,6,0,3/9,0,0,0
A7,Pea,Low,3,1,3/9,5.286,5.2619,0.0241
A7,Mustard,Low,3,2,3/9,5.295,5.2914,0.0036
A8,Mustard,High,3,1,3/9,5.3373,5.3318,0.0055
B1,Mustard,Low,6,4,3/11,5.224,5.2085,0.0155
B1,Pea,Low,6,3,3/11,5.6156,5.3215,0.2941
B2,Pea,High,3,1,3/11,5.3041,5.2709,0.0332
B2,Mustard,High,3,0,3/11,0,0,0
B3,Mustard,Low,3,3,3/11,5.4816,5.4215,0.0601
B3,Pea,Low,3,2,3/11,5.5468,5.3002,0.2466
B4,Mustard,High,6,1,3/9,5.1375,5.135,0.0025
B4,Pea,High,6,0,3/9,0,0,0
B5,Mustard,High,3,1,3/9,5.3101,5.2941,0.016
B6,Pea,Low,3,0,3/9,0,0,0
B7,Pea,High,3,1,3/9,5.3873,5.3627,0.0246
B8,Mustard,Low,3,1,3/9,5.3347,5.3205,0.0142
C1,Pea,High,3,1,3/11,5.2926,5.2779,0.0147
C2,Mustard,High,6,2,3/11,5.571,5.5612,0.0098
C2,Pea,High,6,0,3/11,0,0,0
C3,Pea,Low,3,0,3/9,0,0,0
C4,Pea,Low,6,2,3/11,5.5202,5.2212,0.299
C4,Mustard,Low,6,6,3/11,5.2825,5.2358,0.0467
C5,Mustard,Low,3,2,3/9,5.2523,5.251,0.0013
C5,Pea,Low,3,0,3/9,0,0,0
C6,Mustard,High,3,2,3/9,5.2707,5.262,0.0087
C6,Pea,High,3,0,3/9,0,0,0
C7,Mustard,High,3,1,3/9,5.2035,5.199,0.0045
C8,Mustard,Low,3,3,3/9,5.3768,5.3707,0.0061
D1,Mustard,High,3,1,3/11,5.3007,5.2977,0.003
D1,Pea,High,3,0,3/11,0,0,0
D2,Pea,High,6,1,3/11,5.6771,5.6466,0.0305
D2,Mustard,High,6,0,3/11,0,0,0
D3,Pea,Low,6,5,3/11,5.548,5.2598,0.2882
D3,Mustard,Low,6,0,3/11,0,0,0
D4,Pea,High,3,1,3/9,5.439,5.4174,0.0216
D5,Pea,Low,3,1,3/9,5.3802,5.362,0.0182
D6,Mustard,High,3,1,3/9,5.4702,5.4612,0.009
D7,Mustard,Low,3,3,3/9,5.426,5.3896,0.0364
D8,Mustard,Low,3,2,3/9,5.3274,5.3108,0.0166
D8,Pea,Low,3,2,3/9,5.3578,5.2621,0.0957
E1,Mustard,Low,3,3,3/11,5.3596,5.3146,0.045
E2,Mustard,High,3,0,3/11,0,0,0
E3,Pea,Low,3,0,3/11,0,0,0
E4,Pea,High,3,0,3/9,0,0,0
E5,Mustard,High,3,1,3/9,5.392,5.3475,0.0445
E5,Pea,High,3,0,3/9,0,0,0
E6,Pea,Low,3,1,3/9,5.2174,5.2098,0.0076
E6,Mustard,Low,3,0,3/9,0,0,0
E7,Mustard,Low,6,6,3/9,5.2741,5.2452,0.0289
E7,Pea,Low,6,3,3/9,5.3937,5.2385,0.1552
E8,Mustard,High,6,2,3/9,5.2625,5.2587,0.0038
E8,Pea,High,6,2,3/9,5.3774,5.1898,0.1876
F1,Pea,High,3,1,3/11,5.3738,5.3392,0.0346
F2,Mustard,High,3,2,3/11,5.2992,5.2872,0.012
F3,Mustard,High,6,1,3/11,5.3278,5.3267,0.0011
F3,Pea,High,6,0,3/11,0,0,0
F4,Mustard,Low,6,6,3/11,5.4873,5.4043,0.083
F4,Pea,Low,6,2,3/11,5.2747,5.2528,0.0219
F5,Mustard,High,3,1,3/9,5.1725,5.1686,0.0039
F5,Pea,High,3,0,3/9,0,0,0
F6,Mustard,Low,3,0,3/9,0,0,0
F7,Pea,Low,3,0,3/9,0,0,0
F8,Pea,Low,3,3,3/9,5.3836,5.1503,0.2333
F8,Mustard,Low,3,3,3/9,5.3708,5.3478,0.023
